#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B3D979
#Date Time: 2023-04-20 14:52:00.448
#Sample rate: 1.20482e+06Hz
#Samples: 8192
#Trigger: Source: Wavegen C1 Condition: Rising
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Ref 1: Range: 500 mV/div Offset: 0 V
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1.9 kHz
#Period: 526.315789 us
#Amplitude: 500 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -5 V

#Time (s),Channel 1 (V),Channel 2 (V),Ref 1 (V)
0.00196890663900415,1.453538776548325,1.117994296905922,-0.5163173350246467
0.00196973663900415,1.445767474564418,1.120012144435268,-0.5163173350246467
0.001970566639004149,1.441712882224988,1.12270260780773,-0.5163173350246467
0.00197139663900415,1.432252166766319,1.125393071180192,-0.5163173350246467
0.00197222663900415,1.426846043647079,1.126401994944865,-0.5169931004145517
0.00197305663900415,1.420088389748029,1.128419842474211,-0.5183446311943616
0.00197388663900415,1.40792461272974,1.132791845454462,-0.5186825138893141
0.00197471663900415,1.400491193440785,1.134137077140693,-0.5176688658044567
0.00197554663900415,1.394747187626593,1.136154924670039,-0.5173309831095042
0.00197637663900415,1.385286472167924,1.139854311807174,-0.5166552177195992
0.00197720663900415,1.379204583658779,1.142208467258079,-0.5156415696347417
0.00197803663900415,1.36568927586068,1.145235238552098,-0.5149658042448368
0.00197886663900415,1.358255856571725,1.146916778159887,-0.5159794523296942
0.001979696639004149,1.344740548773626,1.151625089061695,-0.5142900388549319
0.00198052663900415,1.344402666078673,1.151288781140137,-0.5132763907700744
0.00198135663900415,1.334266185230099,1.153642936591041,-0.5146279215498843
0.00198218663900415,1.327846414026002,1.155660784120388,-0.5132763907700744
0.00198301663900415,1.314331106227902,1.159360171257523,-0.5126006253801695
0.00198384663900415,1.300140033039898,1.163732174237774,-0.510235446515502
0.00198467663900415,1.288314138716561,1.16575002176712,-0.510235446515502
0.00198550663900415,1.280542836732654,1.168104177218024,-0.5095596811255971
0.00198633663900415,1.269392707799222,1.170458332668928,-0.5088839157356921
0.00198716663900415,1.259256226950648,1.173485103962948,-0.5075323849558822
0.00198799663900415,1.249119746102073,1.175839259413852,-0.5061808541760723
0.001988826639004149,1.237631734473689,1.179538646550987,-0.5051672060912148
0.00198965663900415,1.228171019015019,1.182229109923449,-0.5048293233962623
0.00199048663900415,1.214993593911873,1.185255881217469,-0.5038156753114049
0.00199131663900415,1.200802520723868,1.188282652511488,-0.5021262618366424
0.00199214663900415,1.188300861010626,1.192318347570181,-0.5011126137517851
0.00199297663900415,1.17512343590748,1.194336195099527,-0.5011126137517851
0.00199380663900415,1.16836578200843,1.196690350550432,-0.5007747310568326
0.00199463663900415,1.155188356905283,1.199380813922893,-0.4984095521921652
0.00199546663900415,1.146403406836519,1.20139866145224,-0.4967201387174027
0.00199629663900415,1.131536568258609,1.206106972354048,-0.4960443733274977
