#Frequency (Hz),Channel 1 Magnitude (dB),Channel 1 Phase (deg),Channel 2 Magnitude (dB)
18.78121915038293,-0.0105819967735893,-0.5706613186411573,0.01237417049894996
18.94186557945199,-0.01055770500623486,-0.5758298029138587,0.01223524414830118
19.10388610862423,-0.01058771066527492,-0.582275570044132,0.0123591287156123
19.26729249135792,-0.0104132708405843,-0.5862649835489151,0.01235339082053655
19.43209658164524,-0.01060107405069428,-0.5918933542593408,0.01247340382451228
19.59831033487237,-0.01083500279663346,-0.5961862653392416,0.0126429896860044
19.76594580868665,-0.010639328160938,-0.6003271283672973,0.01226349776908364
19.93501516387136,-0.01045516388257599,-0.6071619576018179,0.01234294540907385
20.10553066522784,-0.01074848548530352,-0.6111612544736502,0.01247062784343999
20.27750468246525,-0.01067640862064197,-0.6160040178299653,0.01243494518616826
20.45094969109785,-0.01089135666142226,-0.6207780145920481,0.01241574839850985
