Frequency (Hz)	Level (dB)
9453.076172	-102.927254
9474.609375	-103.547974
9496.142578	-102.983505
9517.675781	-102.580582
9539.208984	-103.110397
9560.742188	-103.221352
9582.275391	-103.473602
9603.808594	-103.788483
9625.341797	-103.467026
9646.875000	-103.416313
9668.408203	-103.662369
9689.941406	-103.410362
9711.474609	-104.008865
9733.007812	-104.368622
9754.541016	-103.430161
9776.074219	-103.479454
9797.607422	-103.457657
9819.140625	-104.239227
9840.673828	-103.988274
9862.207031	-104.009071
9883.740234	-104.349075
9905.273438	-104.313461
9926.806641	-104.438370
9948.339844	-104.072403
9969.873047	-103.990242
9991.406250	-103.627937
10012.939453	-104.109604
10034.472656	-104.342392
10056.005859	-104.307999
10077.539062	-104.688652
10099.072266	-104.435913
10120.605469	-104.741104
10142.138672	-104.876007
10163.671875	-104.669456
10185.205078	-104.823555
10206.738281	-104.672676
10228.271484	-105.043610
10249.804688	-105.795181
10271.337891	-105.203110
10292.871094	-105.085266
10314.404297	-105.300934
10335.937500	-105.111259
10357.470703	-104.890007
10379.003906	-105.182442
10400.537109	-104.969391
10422.070312	-105.130836
10443.603516	-104.437531
10465.136719	-104.601173
10486.669922	-105.913651
10508.203125	-105.877113
10529.736328	-104.938652
10551.269531	-104.486115
10572.802734	-105.009674
10594.335938	-104.795113
10615.869141	-105.040169
10637.402344	-105.146889
10658.935547	-105.255127
10680.468750	-105.417274
10702.001953	-104.733917
10723.535156	-104.981850
10745.068359	-105.298340
10766.601562	-105.345642
10788.134766	-105.362938
10809.667969	-105.126884
10831.201172	-104.891327
10852.734375	-105.067459
10874.267578	-105.161201
10895.800781	-104.986115
10917.333984	-104.987129
10938.867188	-104.521233
10960.400391	-104.474167
10981.933594	-104.900337
11003.466797	-104.988220
11025.000000	-104.771645
11046.533203	-104.288170
11068.066406	-103.739197
11089.599609	-103.654510
11111.132812	-104.241325
11132.666016	-104.210266
11154.199219	-104.407455
11175.732422	-104.287224
11197.265625	-104.183968
11218.798828	-103.494835
11240.332031	-103.816231
11261.865234	-104.273262
11283.398438	-104.455597
11304.931641	-104.182121
11326.464844	-104.522522
11347.998047	-104.432175
11369.531250	-103.922592
11391.064453	-104.281609
11412.597656	-104.313057
11434.130859	-104.138641
11455.664062	-103.797485
11477.197266	-103.438599
11498.730469	-103.835403
11520.263672	-103.633644
11541.796875	-102.962250
11563.330078	-102.926949
11584.863281	-103.874763
11606.396484	-103.880493
11627.929688	-103.607513
11649.462891	-103.103706
11670.996094	-103.541893
11692.529297	-103.579132
11714.062500	-103.782036
11735.595703	-104.039490
11757.128906	-104.412956
11778.662109	-104.339035
11800.195312	-104.033638
11821.728516	-103.965332
11843.261719	-104.083694
11864.794922	-103.654114
11886.328125	-103.614738
11907.861328	-102.928314
11929.394531	-103.260216
11950.927734	-104.556450
11972.460938	-104.165359
11993.994141	-104.210464
12015.527344	-104.310310
12037.060547	-104.148438
12058.593750	-103.596680
12080.126953	-103.950462
12101.660156	-103.904823
12123.193359	-103.794441
12144.726562	-104.096222
12166.259766	-104.401749
12187.792969	-104.348572
12209.326172	-104.045929
12230.859375	-103.300957
12252.392578	-103.721199
12273.925781	-103.570694
12295.458984	-104.320045
12316.992188	-103.761642
12338.525391	-103.713501
12360.058594	-103.905884
12381.591797	-103.954201
12403.125000	-103.927933
12424.658203	-103.330673
12446.191406	-103.390495
12467.724609	-103.163261
12489.257812	-103.218521
12510.791016	-103.477623
12532.324219	-103.796036
12553.857422	-104.147194
12575.390625	-104.569160
12596.923828	-104.833710
12618.457031	-103.871918
12639.990234	-103.481201
12661.523438	-103.671257
12683.056641	-104.176445
12704.589844	-104.057167
12726.123047	-103.684029
12747.656250	-103.649780
12769.189453	-103.371185
12790.722656	-103.066795
12812.255859	-103.478142
12833.789062	-104.316040
12855.322266	-103.985847
12876.855469	-103.976578
12898.388672	-103.674805
12919.921875	-103.910858
12941.455078	-104.831627
12962.988281	-105.133087
12984.521484	-104.622437
13006.054688	-104.878075
13027.587891	-105.084335
13049.121094	-104.521385
13070.654297	-104.568504
13092.187500	-107.037178
13113.720703	-112.463097
13135.253906	-119.930260
13156.787109	-121.760582
13178.320312	-122.557167
13199.853516	-122.828247
13221.386719	-121.579857
13242.919922	-122.165833
13264.453125	-122.512978
13285.986328	-119.530289
13307.519531	-121.636116
13329.052734	-124.289658
13350.585938	-124.332695
13372.119141	-124.422874
13393.652344	-122.103348
13415.185547	-120.462585
13436.718750	-123.219772
